Time Stamp,Nagalagam Street River,Nagalagam Street,Wellawatta Canal-St Peters College,Dematagoda Canal-Orugodawatta,Dehiwala,Parliament Lake Bridge-Kotte Canal,Parliament Lake-Out,Ambatale River,Ambatale Outfall,Salalihini-River,Salalihini-Canal,Kittampahuwa River,Kalupalama,Yakbedda,Heen Ela,Torrinton,Parliament Lake,Kotte North Canal,OUSL-Nawala Kirulapana Canal,Dehiwala Canal,Near SLLRDC,Kirimandala Mw,OUSL-Narahenpita Rd,Swarna Rd-Wellawatta,Mutwal Outfall,Thummodara,JanakalaKendraya,Kotiyagoda,LesliRanagala Mw,Babapulle,Ingurukade Jn,Amaragoda,Malabe,Madinnagoda,Kittampahuwa,Weliwala Pond,Old Awissawella Rd,Kelani Mulla Outfall,Wellampitiya,Talatel Culvert,Wennawatta,Vivekarama Mw,Koratuwa Rd,Harwad Band,Kibulawala 1,Parlimant Lake Side,Polduwa-Parlimant Rd,Aggona
2019-05-22 00:00:00,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,4.749,1.3533,0.4,0.4,0.9,0.68,0.4,0.4,2.62,1.28,0.52,0.4,0.4,1.4319,0.4,0.4,0.4
2019-05-22 00:15:00,0.3118,0.363,0.289,0.4129,0.3275,0.3178,0.2002,0.4442,0.395,0.2575,0.3925,0.465,0.4003,0.4025,0.3999,0.4002,0.216,0.2973,0.3982,0.3212,0.3965,0.4,0.3724,0.3431,0.3812,0.3385,0.2013,0.3001,0.4074,0.4135,0.4375,4.7992,1.3533,0.3417,0.4012,0.4009,0.68,0.2584,0.4,2.62,1.28,0.52,0.4,0.4007,1.4319,0.3962,0.2685,0.2684
2019-05-22 00:30:00,0.1644,0.2918,0.2914,0.4004,0.2852,0.3089,0.2376,0.7438,0.3966,0.3233,0.3681,0.1374,0.1424,0.357,0.346,0.3753,0.2389,0.2692,0.3209,0.2817,0.3518,0.3415,0.3192,0.3082,0.3783,0.3058,0.2218,0.2824,0.3591,0.3984,0.3504,4.8009,1.3533,0.31,0.3505,0.4009,0.68,0.3187,0.3999,2.62,1.28,0.52,0.4,0.4005,1.4319,0.3935,0.2466,0.2787
2019-05-22 00:45:00,0.2159,0.2773,0.2926,0.3352,0.2937,0.2876,0.2414,1.3798,0.3981,0.1983,0.3521,0.2074,0.212,0.3205,0.3108,0.3269,0.241,0.2754,0.2927,0.2917,0.3213,0.3081,0.2969,0.2889,0.3467,0.2923,0.2339,0.2824,0.3395,0.3418,0.3034,4.8064,1.3533,0.291,0.3339,0.4009,0.68,0.1981,0.3682,2.62,1.28,0.52,0.4,0.3996,1.4319,0.3918,0.2628,0.2643
2019-05-22 01:00:00,0.338,0.3392,0.2989,0.3029,0.3074,0.2742,0.2516,1.6099,0.398,0.2764,0.3408,0.3321,0.3334,0.2945,0.2825,0.2965,0.2522,0.2623,0.2803,0.3081,0.2888,0.2803,0.2812,0.2902,0.3363,0.2896,0.249,0.2708,0.293,0.3047,0.329,4.812,1.3533,0.2809,0.3217,0.4009,0.68,0.2744,0.3482,2.62,1.28,0.52,0.4,0.3914,1.4319,0.3907,0.2575,0.2733
2019-05-22 01:15:00,0.3363,0.3123,0.314,0.3051,0.321,0.2712,0.2557,1.6322,0.3979,0.477,0.3328,0.3803,0.3584,0.2758,0.2796,0.2784,0.2562,0.2666,0.2766,0.3227,0.271,0.28,0.283,0.3025,0.3331,0.3009,0.2523,0.2697,0.278,0.3143,0.3088,4.8183,1.3533,0.2667,0.3271,0.4009,0.68,0.4756,0.3394,2.62,1.28,0.52,0.4,0.3825,1.4319,0.3899,0.263,0.2639
2019-05-22 01:30:00,0.4055,0.3662,0.327,0.3082,0.3379,0.2684,0.2585,1.5749,0.3979,0.5738,0.3273,0.4218,0.3425,0.2735,0.2779,0.2771,0.259,0.2623,0.2806,0.3402,0.2667,0.2783,0.2842,0.3104,0.3342,0.3078,0.2561,0.2646,0.2757,0.3219,0.3496,4.8259,1.3533,0.2656,0.3468,0.4009,0.68,0.5663,0.345,2.62,1.28,0.52,0.4,0.3764,1.4319,0.3892,0.2609,0.2638
2019-05-22 01:45:00,0.4207,0.3878,0.3431,0.3252,0.354,0.2699,0.2596,1.5092,0.3979,0.6016,0.3235,0.4736,0.3463,0.2778,0.2839,0.2812,0.2598,0.2648,0.2826,0.3567,0.2677,0.2841,0.2892,0.3226,0.3477,0.3196,0.2562,0.2668,0.2738,0.3432,0.3706,4.8342,1.3533,0.2665,0.3536,0.4009,0.68,0.5983,0.3509,2.62,1.28,0.52,0.4,0.3709,1.4319,0.3887,0.2637,0.2609
2019-05-22 02:00:00,0.4262,0.4051,0.3582,0.3523,0.3717,0.2721,0.2608,1.4434,0.3979,0.5885,0.3209,0.4451,0.3544,0.2834,0.2888,0.2872,0.2609,0.266,0.2885,0.3745,0.2743,0.2891,0.2953,0.3343,0.3792,0.3307,0.2575,0.2683,0.2855,0.3755,0.395,4.845,1.3533,0.2701,0.3542,0.4009,0.68,0.5827,0.3556,2.62,1.28,0.52,0.4,0.3661,1.4319,0.3882,0.2651,0.2659
2019-05-22 02:15:00,0.4088,0.3928,0.3744,0.3639,0.389,0.2765,0.2631,1.3854,0.3979,0.5458,0.3188,0.4279,0.3577,0.2921,0.2956,0.2924,0.2633,0.2692,0.295,0.392,0.2794,0.2961,0.3027,0.3479,0.4007,0.344,0.2593,0.2723,0.2966,0.3833,0.3901,4.8651,1.3533,0.2747,0.3571,0.4009,0.68,0.5435,0.3585,2.62,1.28,0.52,0.4,0.3625,1.4319,0.3877,0.2678,0.2673
2019-05-22 02:30:00,0.4218,0.4014,0.3907,0.361,0.4068,0.2811,0.2658,1.329,0.3979,0.4829,0.3168,0.4267,0.3604,0.2982,0.3027,0.2989,0.2653,0.2727,0.302,0.4099,0.2843,0.3033,0.3105,0.3618,0.4165,0.3576,0.2618,0.276,0.3003,0.3777,0.3942,4.8828,1.4772,0.2794,0.3595,0.4009,0.68,0.4808,0.3607,2.62,1.28,0.52,0.4,0.361,1.4319,0.3873,0.271,0.2722
2019-05-22 02:45:00,0.4246,0.3991,0.4071,0.353,0.4246,0.2856,0.269,1.2713,0.3979,0.4425,0.3151,0.4263,0.3615,0.2995,0.3102,0.3059,0.2688,0.2763,0.3096,0.4278,0.2889,0.3109,0.3187,0.376,0.434,0.3714,0.2649,0.2796,0.3022,0.3667,0.3873,4.9022,1.5703,0.282,0.3608,0.4009,0.68,0.4425,0.3608,2.62,1.28,0.52,0.4,0.3602,1.4319,0.387,0.2745,0.2758
2019-05-22 03:00:00,0.4368,0.4145,0.4237,0.3671,0.4425,0.2905,0.2724,1.2257,0.3979,0.4143,0.3134,0.4285,0.3621,0.2995,0.3183,0.3135,0.2723,0.2799,0.3175,0.4458,0.2917,0.3192,0.3275,0.3905,0.4518,0.3856,0.2683,0.2829,0.2995,0.3875,0.4031,4.9248,1.6174,0.2848,0.3612,0.4009,0.68,0.4148,0.3606,2.62,1.28,0.52,0.4,0.3604,1.4319,0.3866,0.2777,0.2787
2019-05-22 03:15:00,0.45,0.4268,0.4403,0.3784,0.4604,0.2946,0.2757,1.2134,0.3979,0.3948,0.312,0.442,0.3622,0.3051,0.3268,0.3216,0.2758,0.2827,0.3257,0.4638,0.2957,0.3278,0.3367,0.4052,0.4696,0.3999,0.2722,0.2852,0.3105,0.3995,0.4177,4.9488,1.6427,0.2874,0.3616,0.4009,0.68,0.3959,0.3607,2.62,1.28,0.52,0.4,0.3607,1.4319,0.3863,0.2807,0.2825
2019-05-22 03:30:00,0.4647,0.4339,0.457,0.3729,0.4784,0.2996,0.2786,1.1956,0.3979,0.4107,0.3106,0.4536,0.3623,0.311,0.3353,0.33,0.2785,0.2866,0.3337,0.4818,0.2997,0.3365,0.3457,0.42,0.4875,0.4143,0.2754,0.2895,0.3114,0.3889,0.417,4.9724,1.6565,0.2925,0.3618,0.4009,0.68,0.4113,0.3609,2.62,1.28,0.52,0.4,0.3609,1.4319,0.386,0.2843,0.2851
2019-05-22 03:45:00,0.4869,0.4565,0.4737,0.3902,0.4963,0.3044,0.2818,1.1231,0.3979,0.4653,0.3094,0.4796,0.3627,0.3127,0.344,0.3383,0.2816,0.2904,0.3424,0.4999,0.3056,0.3452,0.3552,0.4348,0.5053,0.4288,0.2785,0.2937,0.3146,0.4151,0.4435,4.9953,1.6635,0.2964,0.3621,0.4009,0.68,0.4657,0.3612,2.62,1.28,0.52,0.4,0.3612,1.4319,0.3858,0.2876,0.2898
2019-05-22 04:00:00,0.5266,0.4902,0.4905,0.4084,0.5143,0.3097,0.2854,0.9834,0.4006,0.5244,0.3082,0.5258,0.3629,0.3197,0.353,0.3468,0.2853,0.2943,0.3512,0.5179,0.3097,0.3543,0.3648,0.4497,0.5232,0.4434,0.282,0.2974,0.3247,0.4347,0.4682,5.013,1.6668,0.2994,0.3623,0.4009,0.68,0.5239,0.3615,2.62,1.28,0.52,0.4,0.3614,1.4319,0.3855,0.2912,0.2924
2019-05-22 04:15:00,0.5503,0.5112,0.4813,0.4139,0.5052,0.3148,0.2887,0.8428,0.4076,0.5793,0.3072,0.5648,0.3632,0.3274,0.3621,0.3555,0.2888,0.2983,0.3601,0.507,0.315,0.3636,0.3735,0.4581,0.5031,0.4492,0.2852,0.3012,0.328,0.4362,0.4817,5.0269,1.6681,0.305,0.3626,0.4009,0.68,0.5788,0.3618,2.62,1.28,0.52,0.4,0.3616,1.4319,0.3853,0.2952,0.2969
2019-05-22 04:30:00,0.5266,0.5039,0.4628,0.438,0.4817,0.3204,0.2924,0.7213,0.4171,0.615,0.3063,0.5419,0.3635,0.3321,0.3675,0.3634,0.2923,0.303,0.3637,0.4826,0.3212,0.3683,0.3752,0.4437,0.4853,0.4366,0.2887,0.3064,0.3354,0.469,0.4934,5.0363,1.6683,0.3094,0.3628,0.4009,0.68,0.6133,0.3621,2.62,1.28,0.52,0.4,0.362,1.4319,0.3851,0.2992,0.3007
2019-05-22 04:45:00,0.4941,0.4808,0.4423,0.4459,0.4587,0.3237,0.2962,0.6207,0.4285,0.583,0.3054,0.5105,0.3637,0.3406,0.3672,0.3661,0.2959,0.3068,0.3626,0.4595,0.3272,0.3675,0.3726,0.4267,0.4678,0.4207,0.2921,0.3103,0.3462,0.4729,0.4822,5.043,1.668,0.3142,0.3631,0.4009,0.68,0.5809,0.3623,2.62,1.28,0.52,0.4,0.3622,1.4319,0.3849,0.3031,0.3053
2019-05-22 05:00:00,0.466,0.4575,0.4223,0.4336,0.4366,0.3263,0.3001,0.5495,0.4413,0.5038,0.3047,0.478,0.364,0.3466,0.3631,0.3642,0.3002,0.311,0.3591,0.4371,0.3317,0.3632,0.3675,0.4108,0.4464,0.4054,0.2958,0.3148,0.3497,0.4533,0.46,5.0477,1.6674,0.3199,0.3634,0.4009,0.68,0.5037,0.3626,2.62,1.28,0.52,0.4,0.3625,1.4319,0.3847,0.3072,0.3086
2019-05-22 05:15:00,0.421,0.4284,0.4019,0.4167,0.4141,0.328,0.3041,0.4987,0.4549,0.4275,0.304,0.4229,0.3642,0.3469,0.3575,0.3594,0.3041,0.3144,0.3541,0.4138,0.3346,0.3575,0.3606,0.394,0.4247,0.3892,0.2997,0.3187,0.3515,0.433,0.4309,5.0511,1.6667,0.3231,0.3636,0.4009,0.68,0.428,0.3628,2.62,1.28,0.52,0.4,0.3627,1.4319,0.3846,0.3111,0.3133
